Country Name,Country Code,Series Name,Series Code,2008 [YR2008]
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4463125
Cote d'Ivoire,CIV,Gini index (World Bank estimate),SI.POV.GINI,43.2
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,19605569
Croatia,HRV,Gini index (World Bank estimate),SI.POV.GINI,..
Croatia,HRV,"Population, total",SP.POP.TOTL,4309705
Cuba,CUB,Gini index (World Bank estimate),SI.POV.GINI,..
Cuba,CUB,"Population, total",SP.POP.TOTL,11236971
Curacao,CUW,Gini index (World Bank estimate),SI.POV.GINI,..
Curacao,CUW,"Population, total",SP.POP.TOTL,145880
Cyprus,CYP,Gini index (World Bank estimate),SI.POV.GINI,31.7
Cyprus,CYP,"Population, total",SP.POP.TOTL,1081563
Czech Republic,CZE,Gini index (World Bank estimate),SI.POV.GINI,26.3
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10384603
Denmark,DNK,Gini index (World Bank estimate),SI.POV.GINI,25.2
Denmark,DNK,"Population, total",SP.POP.TOTL,5493621
Djibouti,DJI,Gini index (World Bank estimate),SI.POV.GINI,..
Djibouti,DJI,"Population, total",SP.POP.TOTL,816358
Dominica,DMA,Gini index (World Bank estimate),SI.POV.GINI,..
Dominica,DMA,"Population, total",SP.POP.TOTL,70827
Dominican Republic,DOM,Gini index (World Bank estimate),SI.POV.GINI,48.1
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,9458075
Ecuador,ECU,Gini index (World Bank estimate),SI.POV.GINI,49.7
Ecuador,ECU,"Population, total",SP.POP.TOTL,14535739
"Egypt, Arab Rep.",EGY,Gini index (World Bank estimate),SI.POV.GINI,31.1
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,79636079
El Salvador,SLV,Gini index (World Bank estimate),SI.POV.GINI,46.9
El Salvador,SLV,"Population, total",SP.POP.TOTL,6131764
Equatorial Guinea,GNQ,Gini index (World Bank estimate),SI.POV.GINI,..
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,860840
Eritrea,ERI,Gini index (World Bank estimate),SI.POV.GINI,..
Eritrea,ERI,"Population, total",SP.POP.TOTL,3062779
Estonia,EST,Gini index (World Bank estimate),SI.POV.GINI,31.9
Estonia,EST,"Population, total",SP.POP.TOTL,1337090
Eswatini,SWZ,Gini index (World Bank estimate),SI.POV.GINI,..
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1049945
Ethiopia,ETH,Gini index (World Bank estimate),SI.POV.GINI,..
Ethiopia,ETH,"Population, total",SP.POP.TOTL,82916235
Faroe Islands,FRO,Gini index (World Bank estimate),SI.POV.GINI,..
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,47820
Fiji,FJI,Gini index (World Bank estimate),SI.POV.GINI,40.4
Fiji,FJI,"Population, total",SP.POP.TOTL,845361
Finland,FIN,Gini index (World Bank estimate),SI.POV.GINI,27.8
Finland,FIN,"Population, total",SP.POP.TOTL,5313399
French Polynesia,PYF,Gini index (World Bank estimate),SI.POV.GINI,..
French Polynesia,PYF,"Population, total",SP.POP.TOTL,264061
Gabon,GAB,Gini index (World Bank estimate),SI.POV.GINI,..
Gabon,GAB,"Population, total",SP.POP.TOTL,1518540
"Gambia, The",GMB,Gini index (World Bank estimate),SI.POV.GINI,..
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,1689285
Georgia,GEO,Gini index (World Bank estimate),SI.POV.GINI,38.5
Georgia,GEO,"Population, total",SP.POP.TOTL,3848449
Germany,DEU,Gini index (World Bank estimate),SI.POV.GINI,31.1
Germany,DEU,"Population, total",SP.POP.TOTL,82110097
Ghana,GHA,Gini index (World Bank estimate),SI.POV.GINI,..
Ghana,GHA,"Population, total",SP.POP.TOTL,23563825
Gibraltar,GIB,Gini index (World Bank estimate),SI.POV.GINI,..
Gibraltar,GIB,"Population, total",SP.POP.TOTL,33559
Greece,GRC,Gini index (World Bank estimate),SI.POV.GINI,33.6
Greece,GRC,"Population, total",SP.POP.TOTL,11077841
Greenland,GRL,Gini index (World Bank estimate),SI.POV.GINI,..
Greenland,GRL,"Population, total",SP.POP.TOTL,56328
Grenada,GRD,Gini index (World Bank estimate),SI.POV.GINI,..
Grenada,GRD,"Population, total",SP.POP.TOTL,105456
Guam,GUM,Gini index (World Bank estimate),SI.POV.GINI,..
Guam,GUM,"Population, total",SP.POP.TOTL,159036
Guatemala,GTM,Gini index (World Bank estimate),SI.POV.GINI,..
Guatemala,GTM,"Population, total",SP.POP.TOTL,13739299
Guinea,GIN,Gini index (World Bank estimate),SI.POV.GINI,..
Guinea,GIN,"Population, total",SP.POP.TOTL,9738792
Guinea-Bissau,GNB,Gini index (World Bank estimate),SI.POV.GINI,..
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1446936
Guyana,GUY,Gini index (World Bank estimate),SI.POV.GINI,..
Guyana,GUY,"Population, total",SP.POP.TOTL,746817
Haiti,HTI,Gini index (World Bank estimate),SI.POV.GINI,..
Haiti,HTI,"Population, total",SP.POP.TOTL,9646580
Honduras,HND,Gini index (World Bank estimate),SI.POV.GINI,55.5
Honduras,HND,"Population, total",SP.POP.TOTL,7980955
"Hong Kong SAR, China",HKG,Gini index (World Bank estimate),SI.POV.GINI,..
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,6957800
Hungary,HUN,Gini index (World Bank estimate),SI.POV.GINI,27.5
Hungary,HUN,"Population, total",SP.POP.TOTL,10038188
Iceland,ISL,Gini index (World Bank estimate),SI.POV.GINI,31.8
Iceland,ISL,"Population, total",SP.POP.TOTL,317414
India,IND,Gini index (World Bank estimate),SI.POV.GINI,..
India,IND,"Population, total",SP.POP.TOTL,1200669765
Indonesia,IDN,Gini index (World Bank estimate),SI.POV.GINI,35.2
Indonesia,IDN,"Population, total",SP.POP.TOTL,235469762
"Iran, Islamic Rep.",IRN,Gini index (World Bank estimate),SI.POV.GINI,..
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,72120604
Iraq,IRQ,Gini index (World Bank estimate),SI.POV.GINI,..
Iraq,IRQ,"Population, total",SP.POP.TOTL,28385746
Ireland,IRL,Gini index (World Bank estimate),SI.POV.GINI,30.9
Ireland,IRL,"Population, total",SP.POP.TOTL,4489544
Isle of Man,IMN,Gini index (World Bank estimate),SI.POV.GINI,..
Isle of Man,IMN,"Population, total",SP.POP.TOTL,83508
Israel,ISR,Gini index (World Bank estimate),SI.POV.GINI,..
Israel,ISR,"Population, total",SP.POP.TOTL,7308800
Italy,ITA,Gini index (World Bank estimate),SI.POV.GINI,33.8
Italy,ITA,"Population, total",SP.POP.TOTL,58826731
Jamaica,JAM,Gini index (World Bank estimate),SI.POV.GINI,..
Jamaica,JAM,"Population, total",SP.POP.TOTL,2781876
Japan,JPN,Gini index (World Bank estimate),SI.POV.GINI,34.8
Japan,JPN,"Population, total",SP.POP.TOTL,128063000
Jordan,JOR,Gini index (World Bank estimate),SI.POV.GINI,32.6
Jordan,JOR,"Population, total",SP.POP.TOTL,6556478
Kazakhstan,KAZ,Gini index (World Bank estimate),SI.POV.GINI,28.5
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,15674000
Kenya,KEN,Gini index (World Bank estimate),SI.POV.GINI,..
Kenya,KEN,"Population, total",SP.POP.TOTL,39791981
Kiribati,KIR,Gini index (World Bank estimate),SI.POV.GINI,..
Kiribati,KIR,"Population, total",SP.POP.TOTL,98761
"Korea, Dem. People’s Rep.",PRK,Gini index (World Bank estimate),SI.POV.GINI,..
"Korea, Dem. People’s Rep.",PRK,"Population, total",SP.POP.TOTL,24310142
"Korea, Rep.",KOR,Gini index (World Bank estimate),SI.POV.GINI,32.3
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,49054708
Kosovo,XKX,Gini index (World Bank estimate),SI.POV.GINI,..
Kosovo,XKX,"Population, total",SP.POP.TOTL,1747383
Kuwait,KWT,Gini index (World Bank estimate),SI.POV.GINI,..
Kuwait,KWT,"Population, total",SP.POP.TOTL,2656009
Kyrgyz Republic,KGZ,Gini index (World Bank estimate),SI.POV.GINI,31.5
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,5318700
Lao PDR,LAO,Gini index (World Bank estimate),SI.POV.GINI,..
Lao PDR,LAO,"Population, total",SP.POP.TOTL,6046620
Latvia,LVA,Gini index (World Bank estimate),SI.POV.GINI,37.2
Latvia,LVA,"Population, total",SP.POP.TOTL,2177322
Lebanon,LBN,Gini index (World Bank estimate),SI.POV.GINI,..
Lebanon,LBN,"Population, total",SP.POP.TOTL,4764741
Lesotho,LSO,Gini index (World Bank estimate),SI.POV.GINI,..
Lesotho,LSO,"Population, total",SP.POP.TOTL,1987129
Liberia,LBR,Gini index (World Bank estimate),SI.POV.GINI,..
Liberia,LBR,"Population, total",SP.POP.TOTL,3607860
Libya,LBY,Gini index (World Bank estimate),SI.POV.GINI,..
Libya,LBY,"Population, total",SP.POP.TOTL,6058748
Liechtenstein,LIE,Gini index (World Bank estimate),SI.POV.GINI,..
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,35471
Lithuania,LTU,Gini index (World Bank estimate),SI.POV.GINI,35.7
Lithuania,LTU,"Population, total",SP.POP.TOTL,3198231
Luxembourg,LUX,Gini index (World Bank estimate),SI.POV.GINI,32.6
Luxembourg,LUX,"Population, total",SP.POP.TOTL,488650
"Macao SAR, China",MAC,Gini index (World Bank estimate),SI.POV.GINI,..
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,515239
Madagascar,MDG,Gini index (World Bank estimate),SI.POV.GINI,..
Madagascar,MDG,"Population, total",SP.POP.TOTL,19996473
Malawi,MWI,Gini index (World Bank estimate),SI.POV.GINI,..
Malawi,MWI,"Population, total",SP.POP.TOTL,13727890
Malaysia,MYS,Gini index (World Bank estimate),SI.POV.GINI,45.5
Malaysia,MYS,"Population, total",SP.POP.TOTL,27236006
Maldives,MDV,Gini index (World Bank estimate),SI.POV.GINI,..
Maldives,MDV,"Population, total",SP.POP.TOTL,343452
Mali,MLI,Gini index (World Bank estimate),SI.POV.GINI,..
Mali,MLI,"Population, total",SP.POP.TOTL,14113577
Malta,MLT,Gini index (World Bank estimate),SI.POV.GINI,29
Malta,MLT,"Population, total",SP.POP.TOTL,409379
Marshall Islands,MHL,Gini index (World Bank estimate),SI.POV.GINI,..
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,56174
Mauritania,MRT,Gini index (World Bank estimate),SI.POV.GINI,35.7
Mauritania,MRT,"Population, total",SP.POP.TOTL,3296238
Mauritius,MUS,Gini index (World Bank estimate),SI.POV.GINI,..
Mauritius,MUS,"Population, total",SP.POP.TOTL,1244121
Mexico,MEX,Gini index (World Bank estimate),SI.POV.GINI,49.9
Mexico,MEX,"Population, total",SP.POP.TOTL,110815271
"Micronesia, Fed. Sts.",FSM,Gini index (World Bank estimate),SI.POV.GINI,..
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,103543
Moldova,MDA,Gini index (World Bank estimate),SI.POV.GINI,34.7
Moldova,MDA,"Population, total",SP.POP.TOTL,2867964
Monaco,MCO,Gini index (World Bank estimate),SI.POV.GINI,..
Monaco,MCO,"Population, total",SP.POP.TOTL,34872
Mongolia,MNG,Gini index (World Bank estimate),SI.POV.GINI,..
Mongolia,MNG,"Population, total",SP.POP.TOTL,2631898
Montenegro,MNE,Gini index (World Bank estimate),SI.POV.GINI,..
Montenegro,MNE,"Population, total",SP.POP.TOTL,616969
Morocco,MAR,Gini index (World Bank estimate),SI.POV.GINI,..
Morocco,MAR,"Population, total",SP.POP.TOTL,31536811
Mozambique,MOZ,Gini index (World Bank estimate),SI.POV.GINI,45.6
Mozambique,MOZ,"Population, total",SP.POP.TOTL,22276596
Myanmar,MMR,Gini index (World Bank estimate),SI.POV.GINI,..
Myanmar,MMR,"Population, total",SP.POP.TOTL,49929642
Namibia,NAM,Gini index (World Bank estimate),SI.POV.GINI,..
Namibia,NAM,"Population, total",SP.POP.TOTL,2043394
Nauru,NRU,Gini index (World Bank estimate),SI.POV.GINI,..
Nauru,NRU,"Population, total",SP.POP.TOTL,9891
Nepal,NPL,Gini index (World Bank estimate),SI.POV.GINI,..
Nepal,NPL,"Population, total",SP.POP.TOTL,26666576
Netherlands,NLD,Gini index (World Bank estimate),SI.POV.GINI,29.3
Netherlands,NLD,"Population, total",SP.POP.TOTL,16445593
New Caledonia,NCL,Gini index (World Bank estimate),SI.POV.GINI,..
New Caledonia,NCL,"Population, total",SP.POP.TOTL,242750
New Zealand,NZL,Gini index (World Bank estimate),SI.POV.GINI,..
New Zealand,NZL,"Population, total",SP.POP.TOTL,4259800
Nicaragua,NIC,Gini index (World Bank estimate),SI.POV.GINI,..
Nicaragua,NIC,"Population, total",SP.POP.TOTL,5667432
Niger,NER,Gini index (World Bank estimate),SI.POV.GINI,..
Niger,NER,"Population, total",SP.POP.TOTL,15250908
Nigeria,NGA,Gini index (World Bank estimate),SI.POV.GINI,..
Nigeria,NGA,"Population, total",SP.POP.TOTL,150269623
North Macedonia,MKD,Gini index (World Bank estimate),SI.POV.GINI,..
North Macedonia,MKD,"Population, total",SP.POP.TOTL,2067313
Northern Mariana Islands,MNP,Gini index (World Bank estimate),SI.POV.GINI,..
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,54625
Norway,NOR,Gini index (World Bank estimate),SI.POV.GINI,27
Norway,NOR,"Population, total",SP.POP.TOTL,4768212
Oman,OMN,Gini index (World Bank estimate),SI.POV.GINI,..
Oman,OMN,"Population, total",SP.POP.TOTL,2750963
Pakistan,PAK,Gini index (World Bank estimate),SI.POV.GINI,..
Pakistan,PAK,"Population, total",SP.POP.TOTL,171648986
Palau,PLW,Gini index (World Bank estimate),SI.POV.GINI,..
Palau,PLW,"Population, total",SP.POP.TOTL,18704
Panama,PAN,Gini index (World Bank estimate),SI.POV.GINI,52.7
Panama,PAN,"Population, total",SP.POP.TOTL,3516204
Papua New Guinea,PNG,Gini index (World Bank estimate),SI.POV.GINI,..
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,6976201
Paraguay,PRY,Gini index (World Bank estimate),SI.POV.GINI,50.7
Paraguay,PRY,"Population, total",SP.POP.TOTL,6081296
Peru,PER,Gini index (World Bank estimate),SI.POV.GINI,47.5
Peru,PER,"Population, total",SP.POP.TOTL,28562317
Philippines,PHL,Gini index (World Bank estimate),SI.POV.GINI,..
Philippines,PHL,"Population, total",SP.POP.TOTL,90901965
Poland,POL,Gini index (World Bank estimate),SI.POV.GINI,33.5
Poland,POL,"Population, total",SP.POP.TOTL,38125759
Portugal,PRT,Gini index (World Bank estimate),SI.POV.GINI,36.6
Portugal,PRT,"Population, total",SP.POP.TOTL,10558177
Puerto Rico,PRI,Gini index (World Bank estimate),SI.POV.GINI,..
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3760866
Qatar,QAT,Gini index (World Bank estimate),SI.POV.GINI,..
Qatar,QAT,"Population, total",SP.POP.TOTL,1436665
Romania,ROU,Gini index (World Bank estimate),SI.POV.GINI,36.4
Romania,ROU,"Population, total",SP.POP.TOTL,20537875
Russian Federation,RUS,Gini index (World Bank estimate),SI.POV.GINI,41.6
Russian Federation,RUS,"Population, total",SP.POP.TOTL,142742366
Rwanda,RWA,Gini index (World Bank estimate),SI.POV.GINI,..
Rwanda,RWA,"Population, total",SP.POP.TOTL,9524534
Samoa,WSM,Gini index (World Bank estimate),SI.POV.GINI,42
Samoa,WSM,"Population, total",SP.POP.TOTL,183263
San Marino,SMR,Gini index (World Bank estimate),SI.POV.GINI,..
San Marino,SMR,"Population, total",SP.POP.TOTL,30434
Sao Tome and Principe,STP,Gini index (World Bank estimate),SI.POV.GINI,..
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,171120
Saudi Arabia,SAU,Gini index (World Bank estimate),SI.POV.GINI,..
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,25888541
Senegal,SEN,Gini index (World Bank estimate),SI.POV.GINI,..
Senegal,SEN,"Population, total",SP.POP.TOTL,12004701
Serbia,SRB,Gini index (World Bank estimate),SI.POV.GINI,..
Serbia,SRB,"Population, total",SP.POP.TOTL,7350222
Seychelles,SYC,Gini index (World Bank estimate),SI.POV.GINI,..
Seychelles,SYC,"Population, total",SP.POP.TOTL,86956
Sierra Leone,SLE,Gini index (World Bank estimate),SI.POV.GINI,..
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,6133603
Singapore,SGP,Gini index (World Bank estimate),SI.POV.GINI,..
Singapore,SGP,"Population, total",SP.POP.TOTL,4839396
Sint Maarten (Dutch part),SXM,Gini index (World Bank estimate),SI.POV.GINI,..
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,33964
Slovak Republic,SVK,Gini index (World Bank estimate),SI.POV.GINI,26
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5379233
Slovenia,SVN,Gini index (World Bank estimate),SI.POV.GINI,23.7
Slovenia,SVN,"Population, total",SP.POP.TOTL,2021316
Solomon Islands,SLB,Gini index (World Bank estimate),SI.POV.GINI,..
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,503360
Somalia,SOM,Gini index (World Bank estimate),SI.POV.GINI,..
Somalia,SOM,"Population, total",SP.POP.TOTL,11397188
South Africa,ZAF,Gini index (World Bank estimate),SI.POV.GINI,63
South Africa,ZAF,"Population, total",SP.POP.TOTL,49779471
South Sudan,SSD,Gini index (World Bank estimate),SI.POV.GINI,..
South Sudan,SSD,"Population, total",SP.POP.TOTL,8736939
Spain,ESP,Gini index (World Bank estimate),SI.POV.GINI,34.2
Spain,ESP,"Population, total",SP.POP.TOTL,45954106
Sri Lanka,LKA,Gini index (World Bank estimate),SI.POV.GINI,..
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,19983984
St. Kitts and Nevis,KNA,Gini index (World Bank estimate),SI.POV.GINI,..
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,48178
St. Lucia,LCA,Gini index (World Bank estimate),SI.POV.GINI,..
St. Lucia,LCA,"Population, total",SP.POP.TOTL,170011
St. Martin (French part),MAF,Gini index (World Bank estimate),SI.POV.GINI,..
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,36885
St. Vincent and the Grenadines,VCT,Gini index (World Bank estimate),SI.POV.GINI,..
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,108393
Sudan,SDN,Gini index (World Bank estimate),SI.POV.GINI,..
Sudan,SDN,"Population, total",SP.POP.TOTL,33060837
Suriname,SUR,Gini index (World Bank estimate),SI.POV.GINI,..
Suriname,SUR,"Population, total",SP.POP.TOTL,517122
Sweden,SWE,Gini index (World Bank estimate),SI.POV.GINI,28.1
Sweden,SWE,"Population, total",SP.POP.TOTL,9219637
Switzerland,CHE,Gini index (World Bank estimate),SI.POV.GINI,33.8
Switzerland,CHE,"Population, total",SP.POP.TOTL,7647675
Syrian Arab Republic,SYR,Gini index (World Bank estimate),SI.POV.GINI,..
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,20664038
Tajikistan,TJK,Gini index (World Bank estimate),SI.POV.GINI,..
Tajikistan,TJK,"Population, total",SP.POP.TOTL,7209930
Tanzania,TZA,Gini index (World Bank estimate),SI.POV.GINI,..
Tanzania,TZA,"Population, total",SP.POP.TOTL,41853944
Thailand,THA,Gini index (World Bank estimate),SI.POV.GINI,40.3
Thailand,THA,"Population, total",SP.POP.TOTL,66530984
Timor-Leste,TLS,Gini index (World Bank estimate),SI.POV.GINI,..
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1055431
Togo,TGO,Gini index (World Bank estimate),SI.POV.GINI,..
Togo,TGO,"Population, total",SP.POP.TOTL,6083420
Tonga,TON,Gini index (World Bank estimate),SI.POV.GINI,..
Tonga,TON,"Population, total",SP.POP.TOTL,103379
Trinidad and Tobago,TTO,Gini index (World Bank estimate),SI.POV.GINI,..
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1314443
Tunisia,TUN,Gini index (World Bank estimate),SI.POV.GINI,..
Tunisia,TUN,"Population, total",SP.POP.TOTL,10414433
Turkey,TUR,Gini index (World Bank estimate),SI.POV.GINI,39
Turkey,TUR,"Population, total",SP.POP.TOTL,70418604
Turkmenistan,TKM,Gini index (World Bank estimate),SI.POV.GINI,..
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,4935767
Turks and Caicos Islands,TCA,Gini index (World Bank estimate),SI.POV.GINI,..
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,31202
Tuvalu,TUV,Gini index (World Bank estimate),SI.POV.GINI,..
Tuvalu,TUV,"Population, total",SP.POP.TOTL,10314
Uganda,UGA,Gini index (World Bank estimate),SI.POV.GINI,..
Uganda,UGA,"Population, total",SP.POP.TOTL,30431736
Ukraine,UKR,Gini index (World Bank estimate),SI.POV.GINI,26.6
Ukraine,UKR,"Population, total",SP.POP.TOTL,46258189
United Arab Emirates,ARE,Gini index (World Bank estimate),SI.POV.GINI,..
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,7089487
United Kingdom,GBR,Gini index (World Bank estimate),SI.POV.GINI,34.1
United Kingdom,GBR,"Population, total",SP.POP.TOTL,61806995
United States,USA,Gini index (World Bank estimate),SI.POV.GINI,..
United States,USA,"Population, total",SP.POP.TOTL,304093966
Uruguay,URY,Gini index (World Bank estimate),SI.POV.GINI,45.1
